               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061945,            0.055525,           0.0089365,             0.82736,             0.72195,             0.80954,             0.45105,            0.036148,            0.028337,           0.0031732,            0.070023,           0.0033308,           0.0033308
                   1,            0.047637,            0.049035,           0.0048341,             0.86025,             0.74917,             0.84718,             0.53879,            0.030216,            0.027206,           0.0026538,            0.039891,           0.0065322,           0.0065322
                   2,            0.043236,            0.048106,           0.0043069,             0.85877,             0.72935,             0.82794,             0.55464,            0.028994,            0.027697,           0.0025396,           0.0096269,           0.0096016,           0.0096016
                   3,            0.039674,            0.046801,           0.0039857,             0.89236,             0.71504,             0.82768,             0.56015,            0.027073,            0.027526,           0.0024098,            0.009406,            0.009406,            0.009406
                   4,             0.03686,            0.045267,           0.0036652,             0.86592,             0.75962,             0.85168,             0.58738,            0.025862,              0.0267,           0.0021558,            0.009406,            0.009406,            0.009406
                   5,             0.03518,            0.044099,            0.003465,             0.87384,             0.76013,             0.86024,              0.6034,            0.024713,            0.026205,           0.0019875,            0.009208,            0.009208,            0.009208
                   6,            0.034286,            0.043178,           0.0033048,             0.88563,             0.78306,             0.87387,             0.61691,            0.024078,            0.025143,           0.0018648,             0.00901,             0.00901,             0.00901
                   7,            0.033365,            0.042373,           0.0031334,             0.87823,             0.76473,             0.85813,             0.60797,            0.024597,            0.026142,           0.0019421,            0.008812,            0.008812,            0.008812
                   8,            0.032901,            0.042112,           0.0031012,             0.87827,              0.7667,             0.86351,             0.61303,            0.023986,            0.025466,           0.0018287,            0.008614,            0.008614,            0.008614
                   9,            0.032441,            0.041501,           0.0030003,             0.87705,             0.77597,             0.87057,             0.62477,            0.023302,            0.024826,           0.0018905,            0.008416,            0.008416,            0.008416
