               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055831,            0.019056,            0.009486,               0.709,             0.71681,             0.72689,             0.40124,             0.03624,           0.0078524,           0.0041866,            0.070017,           0.0033314,           0.0033314
                   1,            0.037769,            0.012158,           0.0020754,             0.84432,             0.86094,             0.88224,             0.54259,            0.028868,           0.0062068,           0.0018019,            0.039885,           0.0065328,           0.0065328
                   2,            0.033769,            0.011311,           0.0015539,             0.85661,             0.87354,             0.90711,             0.57537,            0.026554,           0.0061415,           0.0014686,           0.0096214,           0.0096021,           0.0096021
                   3,            0.030176,            0.010812,           0.0012399,             0.87106,             0.89463,             0.90969,             0.60763,            0.023985,           0.0055509,           0.0012405,            0.009406,            0.009406,            0.009406
                   4,            0.027522,            0.010245,          0.00098946,              0.8725,               0.903,             0.92078,             0.63155,            0.023094,           0.0053242,           0.0010394,            0.009406,            0.009406,            0.009406
                   5,            0.026106,            0.009886,           0.0009299,             0.87907,             0.90342,             0.92795,             0.65302,            0.021812,           0.0050679,           0.0010552,            0.009208,            0.009208,            0.009208
                   6,             0.02503,           0.0095814,          0.00083558,             0.88275,             0.92478,             0.92923,             0.66703,            0.020579,           0.0048015,          0.00097017,             0.00901,             0.00901,             0.00901
                   7,            0.024108,           0.0093385,          0.00074924,             0.88448,             0.93023,             0.93906,              0.6857,            0.019896,           0.0046896,          0.00096492,            0.008812,            0.008812,            0.008812
                   8,            0.023747,           0.0092392,          0.00074356,             0.88883,              0.9322,             0.94073,             0.68905,             0.01923,           0.0046197,          0.00091299,            0.008614,            0.008614,            0.008614
                   9,            0.023162,           0.0090751,          0.00072152,             0.89314,             0.92416,             0.94177,              0.6969,            0.018963,            0.004508,          0.00088746,            0.008416,            0.008416,            0.008416
                  10,             0.02275,           0.0089843,          0.00071997,             0.89357,             0.93151,             0.94321,             0.70254,            0.018618,           0.0043846,          0.00090518,            0.008218,            0.008218,            0.008218
                  11,            0.022202,            0.008856,           0.0005986,             0.88714,             0.94008,             0.94753,             0.71178,            0.017893,           0.0043273,          0.00084827,             0.00802,             0.00802,             0.00802
                  12,            0.022033,           0.0088027,          0.00065156,             0.89601,              0.9369,             0.95213,             0.72044,            0.017624,            0.004244,          0.00085601,            0.007822,            0.007822,            0.007822
                  13,            0.021819,           0.0087037,          0.00077295,             0.89992,             0.92984,             0.95005,             0.72136,            0.017663,           0.0041641,          0.00085566,            0.007624,            0.007624,            0.007624
                  14,             0.02154,           0.0085342,          0.00061263,              0.8888,             0.94021,             0.95014,             0.72555,            0.017181,           0.0041777,          0.00082558,            0.007426,            0.007426,            0.007426
                  15,            0.021349,           0.0085846,          0.00063536,             0.90139,              0.9373,             0.94893,             0.72598,            0.016982,           0.0040906,          0.00083619,            0.007228,            0.007228,            0.007228
                  16,             0.02103,           0.0084654,          0.00060431,             0.90285,             0.93241,             0.95191,             0.73991,             0.01657,           0.0040698,          0.00083026,             0.00703,             0.00703,             0.00703
                  17,            0.020823,           0.0083934,           0.0006163,             0.91081,             0.94046,             0.95248,             0.73981,            0.016515,           0.0040448,          0.00082657,            0.006832,            0.006832,            0.006832
                  18,             0.02068,           0.0082891,          0.00060531,             0.90469,              0.9374,             0.95089,              0.7398,             0.01631,           0.0040062,          0.00080753,            0.006634,            0.006634,            0.006634
                  19,            0.020506,           0.0083143,          0.00051073,             0.91165,              0.9253,              0.9548,             0.74614,            0.016181,           0.0039487,          0.00079977,            0.006436,            0.006436,            0.006436
                  20,            0.020355,           0.0082754,          0.00059897,             0.90446,             0.93539,             0.95611,             0.74836,            0.016045,           0.0039227,          0.00079357,            0.006238,            0.006238,            0.006238
                  21,            0.020042,           0.0082008,           0.0006242,              0.9098,             0.93943,              0.9547,             0.74759,            0.015829,           0.0038972,          0.00079121,             0.00604,             0.00604,             0.00604
                  22,            0.019973,           0.0081484,          0.00052554,             0.90324,             0.94726,              0.9553,             0.74868,            0.015762,           0.0038455,            0.000774,            0.005842,            0.005842,            0.005842
